company,category,size,title,level,city,url,updated,filename
BrandShield,Cybersecurity,m,Executive Assistant,Assistant,הרצליה,https://www.comeet.com/jobs/brandshield/13.002/executive-assistant/4B.935?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/admin.csv
SolarEdge Technologies,Sustainable Technology,l,Customer Experience & Back Office Coordinator,Office Manager,הרצליה,https://www.comeet.com/jobs/SolarEdge/71.00A/customer-experience--back-office-coordinator/FC.A44?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/admin.csv
SolarEdge Technologies,Sustainable Technology,l,HQ Assistant Controller,Assistant,הרצליה,https://www.comeet.com/jobs/SolarEdge/71.00A/hq-assistant-controller/5E.943?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/admin.csv
Gauzy,Sustainable Technology,l,Executive Assistant,Assistant,תל אביב - יפו,https://www.comeet.com/jobs/gauzy/C5.003/executive-assistant/F0.94A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/admin.csv
Innoviz Technologies,Cybersecurity,l,Infrastructure System Administrator,IT Manager,ראש העין,https://www.comeet.com/jobs/innoviz/52.004/infrastructure-system-administrator/7B.449?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/admin.csv
Global-e,Productivity,l,Executive Assistant,Assistant,פתח תקווה,https://www.comeet.com/jobs/global-e/62.002/executive-assistant/85.B4D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
Global-e,Productivity,l,Front Office Receptionist,Office Manager,פתח תקווה,https://www.comeet.com/jobs/global-e/62.002/front-office-receptionist/9B.A43?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
Locusview,IoT,m,Office Manager,Office Manager,הרצליה,https://www.comeet.com/jobs/locusview/25.002/office-manager/E2.731?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
Rapyd Financial Network,Fintech,l,Personal Assistant,Assistant,תל אביב - יפו,https://www.comeet.com/jobs/rapyd/73.00E/personal-assistant/3F.435?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
Driivz,Automotive,m,Chief Operating Officer,Office Manager,הוד השרון,https://www.comeet.com/jobs/driivz/C4.00B/chief-operating-officer/56.C41?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
eToro,Fintech,l,Office Admin,Office Manager,בני ברק,https://www.comeet.com/jobs/etoro/41.009/office-admin/30.C4F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
Plus500,Fintech,l,Anti Fraud Operator,Assistant,חיפה,https://www.comeet.com/jobs/plus500/A1.00F/anti-fraud-operator/5A.54F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/admin.csv
